year,lake,species,grand_total,comments,region,values
2004,Ontario,Crappie,5,,Canada (ONT),5
2005,Ontario,Crappie,11,,U.S. Total (NY),
2005,Ontario,Crappie,11,,Canada (ONT),11
2006,Ontario,Crappie,13,,U.S. Total (NY),
2006,Ontario,Crappie,13,,Canada (ONT),13
2007,Ontario,Crappie,13,,U.S. Total (NY),
2007,Ontario,Crappie,13,,Canada (ONT),13
2008,Ontario,Crappie,16,,U.S. Total (NY),
2008,Ontario,Crappie,16,,Canada (ONT),16
2009,Ontario,Crappie,9,,U.S. Total (NY),
2009,Ontario,Crappie,9,,Canada (ONT),9
2010,Ontario,Crappie,8,,U.S. Total (NY),
2010,Ontario,Crappie,8,,Canada (ONT),8
2011,Ontario,Crappie,8,,U.S. Total (NY),
2011,Ontario,Crappie,8,,Canada (ONT),8
2012,Ontario,Crappie,5,,U.S. Total (NY),
2012,Ontario,Crappie,5,,Canada (ONT),5
2013,Ontario,Crappie,10,,U.S. Total (NY),
2013,Ontario,Crappie,10,,Canada (ONT),10
2014,Ontario,Crappie,8,,U.S. Total (NY),
2014,Ontario,Crappie,8,,Canada (ONT),8
2015,Ontario,Crappie,7,,U.S. Total (NY),
2015,Ontario,Crappie,7,,Canada (ONT),7
1976,Ontario,Freshwater Drum,3,,U.S. Total (NY),0
1976,Ontario,Freshwater Drum,3,,Canada (ONT),3
1977,Ontario,Freshwater Drum,5,,U.S. Total (NY),0
1977,Ontario,Freshwater Drum,5,,Canada (ONT),5
1978,Ontario,Freshwater Drum,0,,U.S. Total (NY),0
1978,Ontario,Freshwater Drum,0,,Canada (ONT),0
1979,Ontario,Freshwater Drum,0,,U.S. Total (NY),0
1979,Ontario,Freshwater Drum,0,,Canada (ONT),0
1980,Ontario,Freshwater Drum,1,,U.S. Total (NY),1
1980,Ontario,Freshwater Drum,1,,Canada (ONT),0
1981,Ontario,Freshwater Drum,2,,U.S. Total (NY),1
1981,Ontario,Freshwater Drum,2,,Canada (ONT),1
1982,Ontario,Freshwater Drum,7,,U.S. Total (NY),0
1982,Ontario,Freshwater Drum,7,,Canada (ONT),7
1983,Ontario,Freshwater Drum,4,,U.S. Total (NY),0
1983,Ontario,Freshwater Drum,4,,Canada (ONT),4
1984,Ontario,Freshwater Drum,1,,U.S. Total (NY),1
1984,Ontario,Freshwater Drum,1,,Canada (ONT),0
1985,Ontario,Freshwater Drum,6,,U.S. Total (NY),1
1985,Ontario,Freshwater Drum,6,,Canada (ONT),5
1986,Ontario,Freshwater Drum,10,,U.S. Total (NY),2
1986,Ontario,Freshwater Drum,10,,Canada (ONT),8
1987,Ontario,Freshwater Drum,1,,U.S. Total (NY),1
1987,Ontario,Freshwater Drum,1,,Canada (ONT),0
1988,Ontario,Freshwater Drum,10,,U.S. Total (NY),2
1988,Ontario,Freshwater Drum,10,,Canada (ONT),8
1989,Ontario,Freshwater Drum,16,,U.S. Total (NY),7
1989,Ontario,Freshwater Drum,16,,Canada (ONT),9
1990,Ontario,Freshwater Drum,17,,U.S. Total (NY),6
1990,Ontario,Freshwater Drum,17,,Canada (ONT),11
1991,Ontario,Freshwater Drum,32,,U.S. Total (NY),3
1991,Ontario,Freshwater Drum,32,,Canada (ONT),29
1992,Ontario,Freshwater Drum,20,,U.S. Total (NY),1
1992,Ontario,Freshwater Drum,20,,Canada (ONT),19
1993,Ontario,Freshwater Drum,19,,U.S. Total (NY),4
1993,Ontario,Freshwater Drum,19,,Canada (ONT),15
1994,Ontario,Freshwater Drum,30,,U.S. Total (NY),5
1994,Ontario,Freshwater Drum,30,,Canada (ONT),25
1995,Ontario,Freshwater Drum,41,,U.S. Total (NY),2
1995,Ontario,Freshwater Drum,41,,Canada (ONT),39
1996,Ontario,Freshwater Drum,60,,U.S. Total (NY),4
1996,Ontario,Freshwater Drum,60,,Canada (ONT),56
1997,Ontario,Freshwater Drum,46,,U.S. Total (NY),0
1997,Ontario,Freshwater Drum,46,,Canada (ONT),46
1998,Ontario,Freshwater Drum,36,,U.S. Total (NY),0
1998,Ontario,Freshwater Drum,36,,Canada (ONT),36
1999,Ontario,Freshwater Drum,25,,U.S. Total (NY),0
1999,Ontario,Freshwater Drum,25,,Canada (ONT),25
2000,Ontario,Freshwater Drum,32,,U.S. Total (NY),
2000,Ontario,Freshwater Drum,32,,Canada (ONT),32
2001,Ontario,Freshwater Drum,64,,U.S. Total (NY),
2001,Ontario,Freshwater Drum,64,,Canada (ONT),64
2002,Ontario,Freshwater Drum,32,,U.S. Total (NY),
2002,Ontario,Freshwater Drum,32,,Canada (ONT),32
2003,Ontario,Freshwater Drum,23,,U.S. Total (NY),
2003,Ontario,Freshwater Drum,23,,Canada (ONT),23
2004,Ontario,Freshwater Drum,31,,U.S. Total (NY),
2004,Ontario,Freshwater Drum,31,,Canada (ONT),31
2005,Ontario,Freshwater Drum,42,,U.S. Total (NY),
2005,Ontario,Freshwater Drum,42,,Canada (ONT),42
2006,Ontario,Freshwater Drum,27,,U.S. Total (NY),
2006,Ontario,Freshwater Drum,27,,Canada (ONT),27
2007,Ontario,Freshwater Drum,23,,U.S. Total (NY),
2007,Ontario,Freshwater Drum,23,,Canada (ONT),23
2008,Ontario,Freshwater Drum,23,,U.S. Total (NY),
2008,Ontario,Freshwater Drum,23,,Canada (ONT),23
2009,Ontario,Freshwater Drum,26,,U.S. Total (NY),
2009,Ontario,Freshwater Drum,26,,Canada (ONT),26
2010,Ontario,Freshwater Drum,21,,U.S. Total (NY),
2010,Ontario,Freshwater Drum,21,,Canada (ONT),21
2011,Ontario,Freshwater Drum,22,,U.S. Total (NY),
2011,Ontario,Freshwater Drum,22,,Canada (ONT),22
2012,Ontario,Freshwater Drum,28,,U.S. Total (NY),
2012,Ontario,Freshwater Drum,28,,Canada (ONT),28
2013,Ontario,Freshwater Drum,31,,U.S. Total (NY),
2013,Ontario,Freshwater Drum,31,,Canada (ONT),31
2014,Ontario,Freshwater Drum,30,,U.S. Total (NY),
2014,Ontario,Freshwater Drum,30,,Canada (ONT),30
2015,Ontario,Freshwater Drum,19,,U.S. Total (NY),
2015,Ontario,Freshwater Drum,19,,Canada (ONT),19
1879,Ontario,Lake Sturgeon,546,,U.S. Total (NY),545
1879,Ontario,Lake Sturgeon,546,,Canada (ONT),1
1880,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1880,Ontario,Lake Sturgeon,,,Canada (ONT),16
1881,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1881,Ontario,Lake Sturgeon,,,Canada (ONT),12
1882,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1882,Ontario,Lake Sturgeon,,,Canada (ONT),103
1883,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1883,Ontario,Lake Sturgeon,,,Canada (ONT),73
1884,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1884,Ontario,Lake Sturgeon,,,Canada (ONT),75
1885,Ontario,Lake Sturgeon,441,,U.S. Total (NY),387
1885,Ontario,Lake Sturgeon,441,,Canada (ONT),54
1886,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1886,Ontario,Lake Sturgeon,,,Canada (ONT),22
1887,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1887,Ontario,Lake Sturgeon,,,Canada (ONT),20
1888,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1888,Ontario,Lake Sturgeon,,,Canada (ONT),23
1889,Ontario,Lake Sturgeon,259,,U.S. Total (NY),201
1889,Ontario,Lake Sturgeon,259,,Canada (ONT),58
1890,Ontario,Lake Sturgeon,581,,U.S. Total (NY),542
1890,Ontario,Lake Sturgeon,581,,Canada (ONT),39
1891,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1891,Ontario,Lake Sturgeon,,,Canada (ONT),36
1892,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1892,Ontario,Lake Sturgeon,,,Canada (ONT),29
1893,Ontario,Lake Sturgeon,160,,U.S. Total (NY),125
1893,Ontario,Lake Sturgeon,160,,Canada (ONT),35
1894,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1894,Ontario,Lake Sturgeon,,,Canada (ONT),40
1895,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1895,Ontario,Lake Sturgeon,,,Canada (ONT),38
1896,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1896,Ontario,Lake Sturgeon,,,Canada (ONT),42
1897,Ontario,Lake Sturgeon,144,,U.S. Total (NY),102
1897,Ontario,Lake Sturgeon,144,,Canada (ONT),42
1898,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1898,Ontario,Lake Sturgeon,,,Canada (ONT),47
1899,Ontario,Lake Sturgeon,172,,U.S. Total (NY),139
1899,Ontario,Lake Sturgeon,172,,Canada (ONT),33
1900,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1900,Ontario,Lake Sturgeon,,,Canada (ONT),19
1901,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1901,Ontario,Lake Sturgeon,,,Canada (ONT),7
1902,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1902,Ontario,Lake Sturgeon,,,Canada (ONT),14
1903,Ontario,Lake Sturgeon,122,,U.S. Total (NY),110
1903,Ontario,Lake Sturgeon,122,,Canada (ONT),12
1904,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1904,Ontario,Lake Sturgeon,,,Canada (ONT),4
1905,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1905,Ontario,Lake Sturgeon,,,Canada (ONT),14
1906,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1906,Ontario,Lake Sturgeon,,,Canada (ONT),13
1907,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1907,Ontario,Lake Sturgeon,,,Canada (ONT),7
1908,Ontario,Lake Sturgeon,39,,U.S. Total (NY),37
1908,Ontario,Lake Sturgeon,39,,Canada (ONT),2
1909,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1909,Ontario,Lake Sturgeon,,,Canada (ONT),0
1910,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1910,Ontario,Lake Sturgeon,,,Canada (ONT),0
1911,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1911,Ontario,Lake Sturgeon,,,Canada (ONT),0
1912,Ontario,Lake Sturgeon,,,U.S. Total (NY),
1912,Ontario,Lake Sturgeon,,,Canada (ONT),9
1913,Ontario,Lake Sturgeon,4,,U.S. Total (NY),4
1913,Ontario,Lake Sturgeon,4,,Canada (ONT),0
1914,Ontario,Lake Sturgeon,7,,U.S. Total (NY),7
1914,Ontario,Lake Sturgeon,7,,Canada (ONT),0
1915,Ontario,Lake Sturgeon,12,,U.S. Total (NY),10
1915,Ontario,Lake Sturgeon,12,,Canada (ONT),2
1916,Ontario,Lake Sturgeon,8,,U.S. Total (NY),5
1916,Ontario,Lake Sturgeon,8,,Canada (ONT),3
1917,Ontario,Lake Sturgeon,5,,U.S. Total (NY),3
1917,Ontario,Lake Sturgeon,5,,Canada (ONT),2
1918,Ontario,Lake Sturgeon,14,,U.S. Total (NY),12
1918,Ontario,Lake Sturgeon,14,,Canada (ONT),2
1919,Ontario,Lake Sturgeon,,,U.S. Total (NY),4
1919,Ontario,Lake Sturgeon,,,Canada (ONT),
1920,Ontario,Lake Sturgeon,3,,U.S. Total (NY),2
1920,Ontario,Lake Sturgeon,3,,Canada (ONT),1
1921,Ontario,Lake Sturgeon,5,,U.S. Total (NY),3
1921,Ontario,Lake Sturgeon,5,,Canada (ONT),2
1922,Ontario,Lake Sturgeon,5,,U.S. Total (NY),3
1922,Ontario,Lake Sturgeon,5,,Canada (ONT),2
1923,Ontario,Lake Sturgeon,8,,U.S. Total (NY),5
1923,Ontario,Lake Sturgeon,8,,Canada (ONT),3
1924,Ontario,Lake Sturgeon,14,,U.S. Total (NY),12
1924,Ontario,Lake Sturgeon,14,,Canada (ONT),2
1925,Ontario,Lake Sturgeon,5,,U.S. Total (NY),4
1925,Ontario,Lake Sturgeon,5,,Canada (ONT),1
1926,Ontario,Lake Sturgeon,19,,U.S. Total (NY),19
1926,Ontario,Lake Sturgeon,19,,Canada (ONT),0
1927,Ontario,Lake Sturgeon,19,,U.S. Total (NY),19
1927,Ontario,Lake Sturgeon,19,,Canada (ONT),0
1928,Ontario,Lake Sturgeon,21,,U.S. Total (NY),20
1928,Ontario,Lake Sturgeon,21,,Canada (ONT),1
1929,Ontario,Lake Sturgeon,2,,U.S. Total (NY),2
1929,Ontario,Lake Sturgeon,2,,Canada (ONT),0
1930,Ontario,Lake Sturgeon,24,,U.S. Total (NY),24
1930,Ontario,Lake Sturgeon,24,,Canada (ONT),
1931,Ontario,Lake Sturgeon,8,,U.S. Total (NY),8
1931,Ontario,Lake Sturgeon,8,,Canada (ONT),0
1932,Ontario,Lake Sturgeon,12,,U.S. Total (NY),12
1932,Ontario,Lake Sturgeon,12,,Canada (ONT),0
1933,Ontario,Lake Sturgeon,14,,U.S. Total (NY),13
1933,Ontario,Lake Sturgeon,14,,Canada (ONT),1
1934,Ontario,Lake Sturgeon,16,,U.S. Total (NY),16
1934,Ontario,Lake Sturgeon,16,,Canada (ONT),0
1935,Ontario,Lake Sturgeon,11,,U.S. Total (NY),10
1935,Ontario,Lake Sturgeon,11,,Canada (ONT),1
1936,Ontario,Lake Sturgeon,15,,U.S. Total (NY),13
1936,Ontario,Lake Sturgeon,15,,Canada (ONT),2
1937,Ontario,Lake Sturgeon,15,,U.S. Total (NY),12
1937,Ontario,Lake Sturgeon,15,,Canada (ONT),3
1938,Ontario,Lake Sturgeon,13,,U.S. Total (NY),11
1938,Ontario,Lake Sturgeon,13,,Canada (ONT),2
1939,Ontario,Lake Sturgeon,18,,U.S. Total (NY),16
1939,Ontario,Lake Sturgeon,18,,Canada (ONT),2
1940,Ontario,Lake Sturgeon,11,,U.S. Total (NY),10
1940,Ontario,Lake Sturgeon,11,,Canada (ONT),1
1941,Ontario,Lake Sturgeon,16,,U.S. Total (NY),10
1941,Ontario,Lake Sturgeon,16,,Canada (ONT),6
1942,Ontario,Lake Sturgeon,8,,U.S. Total (NY),2
1942,Ontario,Lake Sturgeon,8,,Canada (ONT),6
1943,Ontario,Lake Sturgeon,11,,U.S. Total (NY),2
1943,Ontario,Lake Sturgeon,11,,Canada (ONT),9
1944,Ontario,Lake Sturgeon,13,,U.S. Total (NY),2
1944,Ontario,Lake Sturgeon,13,,Canada (ONT),11
1945,Ontario,Lake Sturgeon,9,,U.S. Total (NY),1
1945,Ontario,Lake Sturgeon,9,,Canada (ONT),8
1946,Ontario,Lake Sturgeon,7,,U.S. Total (NY),0
1946,Ontario,Lake Sturgeon,7,,Canada (ONT),7
1947,Ontario,Lake Sturgeon,8,,U.S. Total (NY),2
1947,Ontario,Lake Sturgeon,8,,Canada (ONT),6
1948,Ontario,Lake Sturgeon,8,,U.S. Total (NY),3
1948,Ontario,Lake Sturgeon,8,,Canada (ONT),5
1949,Ontario,Lake Sturgeon,8,,U.S. Total (NY),3
1949,Ontario,Lake Sturgeon,8,,Canada (ONT),5
1950,Ontario,Lake Sturgeon,9,,U.S. Total (NY),1
1950,Ontario,Lake Sturgeon,9,,Canada (ONT),8
1951,Ontario,Lake Sturgeon,7,,U.S. Total (NY),1
1951,Ontario,Lake Sturgeon,7,,Canada (ONT),6
1952,Ontario,Lake Sturgeon,10,,U.S. Total (NY),2
1952,Ontario,Lake Sturgeon,10,,Canada (ONT),8
1953,Ontario,Lake Sturgeon,17,,U.S. Total (NY),4
1953,Ontario,Lake Sturgeon,17,,Canada (ONT),13
1954,Ontario,Lake Sturgeon,11,,U.S. Total (NY),1
1954,Ontario,Lake Sturgeon,11,,Canada (ONT),10
1955,Ontario,Lake Sturgeon,11,,U.S. Total (NY),2
1955,Ontario,Lake Sturgeon,11,,Canada (ONT),9
1956,Ontario,Lake Sturgeon,10,,U.S. Total (NY),1
1956,Ontario,Lake Sturgeon,10,,Canada (ONT),9
1957,Ontario,Lake Sturgeon,7,,U.S. Total (NY),0
1957,Ontario,Lake Sturgeon,7,,Canada (ONT),7
1958,Ontario,Lake Sturgeon,10,,U.S. Total (NY),1
1958,Ontario,Lake Sturgeon,10,,Canada (ONT),9
1959,Ontario,Lake Sturgeon,9,,U.S. Total (NY),1
1959,Ontario,Lake Sturgeon,9,,Canada (ONT),8
1960,Ontario,Lake Sturgeon,10,,U.S. Total (NY),1
1960,Ontario,Lake Sturgeon,10,,Canada (ONT),9
1961,Ontario,Lake Sturgeon,16,,U.S. Total (NY),2
1961,Ontario,Lake Sturgeon,16,,Canada (ONT),14
1962,Ontario,Lake Sturgeon,9,,U.S. Total (NY),0
1962,Ontario,Lake Sturgeon,9,,Canada (ONT),9
1963,Ontario,Lake Sturgeon,7,,U.S. Total (NY),0
1963,Ontario,Lake Sturgeon,7,,Canada (ONT),7
1964,Ontario,Lake Sturgeon,6,,U.S. Total (NY),0
1964,Ontario,Lake Sturgeon,6,,Canada (ONT),6
1965,Ontario,Lake Sturgeon,6,,U.S. Total (NY),1
1965,Ontario,Lake Sturgeon,6,,Canada (ONT),5
1966,Ontario,Lake Sturgeon,2,,U.S. Total (NY),0
1966,Ontario,Lake Sturgeon,2,,Canada (ONT),2
1967,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1967,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1968,Ontario,Lake Sturgeon,2,,U.S. Total (NY),0
1968,Ontario,Lake Sturgeon,2,,Canada (ONT),2
1969,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1969,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1970,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1970,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1971,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1971,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1972,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1972,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1973,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1973,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1974,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1974,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1975,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1975,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1976,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1976,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1977,Ontario,Lake Sturgeon,4,,U.S. Total (NY),0
1977,Ontario,Lake Sturgeon,4,,Canada (ONT),4
1978,Ontario,Lake Sturgeon,4,,U.S. Total (NY),0
1978,Ontario,Lake Sturgeon,4,,Canada (ONT),4
1979,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1979,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1980,Ontario,Lake Sturgeon,1,,U.S. Total (NY),0
1980,Ontario,Lake Sturgeon,1,,Canada (ONT),1
1981,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1981,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1982,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1982,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1983,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1983,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1984,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1984,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1985,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1985,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1986,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1986,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1987,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1987,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1988,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1988,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1989,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1989,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1990,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1990,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1991,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1991,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1992,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1992,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1993,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1993,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1994,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1994,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1995,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1995,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1996,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1996,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1997,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1997,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1998,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1998,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1999,Ontario,Lake Sturgeon,0,,U.S. Total (NY),0
1999,Ontario,Lake Sturgeon,0,,Canada (ONT),0
1867,Ontario,Lake Trout,,,U.S. Total (NY),
1867,Ontario,Lake Trout,,,Canada (ONT),382
1868,Ontario,Lake Trout,,,U.S. Total (NY),
1868,Ontario,Lake Trout,,,Canada (ONT),613
1869,Ontario,Lake Trout,,,U.S. Total (NY),
1869,Ontario,Lake Trout,,,Canada (ONT),406
1870,Ontario,Lake Trout,,,U.S. Total (NY),
1870,Ontario,Lake Trout,,,Canada (ONT),264
1871,Ontario,Lake Trout,,,U.S. Total (NY),
1871,Ontario,Lake Trout,,,Canada (ONT),306
1872,Ontario,Lake Trout,,,U.S. Total (NY),
1872,Ontario,Lake Trout,,,Canada (ONT),187
1873,Ontario,Lake Trout,,,U.S. Total (NY),
1873,Ontario,Lake Trout,,,Canada (ONT),241
1874,Ontario,Lake Trout,,,U.S. Total (NY),
1874,Ontario,Lake Trout,,,Canada (ONT),118
1875,Ontario,Lake Trout,,,U.S. Total (NY),
1875,Ontario,Lake Trout,,,Canada (ONT),325
1876,Ontario,Lake Trout,,,U.S. Total (NY),
1876,Ontario,Lake Trout,,,Canada (ONT),378
1877,Ontario,Lake Trout,,,U.S. Total (NY),
1877,Ontario,Lake Trout,,,Canada (ONT),401
1878,Ontario,Lake Trout,,,U.S. Total (NY),
1878,Ontario,Lake Trout,,,Canada (ONT),362
1879,Ontario,Lake Trout,1008,,U.S. Total (NY),570
1879,Ontario,Lake Trout,1008,,Canada (ONT),438
1880,Ontario,Lake Trout,,,U.S. Total (NY),
1880,Ontario,Lake Trout,,,Canada (ONT),250
1881,Ontario,Lake Trout,,,U.S. Total (NY),
1881,Ontario,Lake Trout,,,Canada (ONT),382
1882,Ontario,Lake Trout,,,U.S. Total (NY),
1882,Ontario,Lake Trout,,,Canada (ONT),251
1883,Ontario,Lake Trout,,,U.S. Total (NY),
1883,Ontario,Lake Trout,,,Canada (ONT),317
1884,Ontario,Lake Trout,,,U.S. Total (NY),
1884,Ontario,Lake Trout,,,Canada (ONT),377
1885,Ontario,Lake Trout,329,,U.S. Total (NY),21
1885,Ontario,Lake Trout,329,,Canada (ONT),308
1886,Ontario,Lake Trout,,,U.S. Total (NY),
1886,Ontario,Lake Trout,,,Canada (ONT),236
1887,Ontario,Lake Trout,,,U.S. Total (NY),
1887,Ontario,Lake Trout,,,Canada (ONT),117
1888,Ontario,Lake Trout,,,U.S. Total (NY),
1888,Ontario,Lake Trout,,,Canada (ONT),97
1889,Ontario,Lake Trout,134,,U.S. Total (NY),7
1889,Ontario,Lake Trout,134,,Canada (ONT),127
1890,Ontario,Lake Trout,146,,U.S. Total (NY),41
1890,Ontario,Lake Trout,146,,Canada (ONT),105
1891,Ontario,Lake Trout,,,U.S. Total (NY),
1891,Ontario,Lake Trout,,,Canada (ONT),169
1892,Ontario,Lake Trout,,,U.S. Total (NY),
1892,Ontario,Lake Trout,,,Canada (ONT),195
1893,Ontario,Lake Trout,246,,U.S. Total (NY),6
1893,Ontario,Lake Trout,246,,Canada (ONT),240
1894,Ontario,Lake Trout,,,U.S. Total (NY),
1894,Ontario,Lake Trout,,,Canada (ONT),161
1895,Ontario,Lake Trout,,,U.S. Total (NY),
1895,Ontario,Lake Trout,,,Canada (ONT),106
1896,Ontario,Lake Trout,,,U.S. Total (NY),
1896,Ontario,Lake Trout,,,Canada (ONT),161
1897,Ontario,Lake Trout,157,,U.S. Total (NY),3
1897,Ontario,Lake Trout,157,,Canada (ONT),154
1898,Ontario,Lake Trout,,,U.S. Total (NY),
1898,Ontario,Lake Trout,,,Canada (ONT),102
1899,Ontario,Lake Trout,119,,U.S. Total (NY),15
1899,Ontario,Lake Trout,119,,Canada (ONT),104
1900,Ontario,Lake Trout,,,U.S. Total (NY),
1900,Ontario,Lake Trout,,,Canada (ONT),60
1901,Ontario,Lake Trout,,,U.S. Total (NY),
1901,Ontario,Lake Trout,,,Canada (ONT),65
1902,Ontario,Lake Trout,,,U.S. Total (NY),
1902,Ontario,Lake Trout,,,Canada (ONT),65
1903,Ontario,Lake Trout,76,,U.S. Total (NY),4
1903,Ontario,Lake Trout,76,,Canada (ONT),72
1904,Ontario,Lake Trout,,,U.S. Total (NY),
1904,Ontario,Lake Trout,,,Canada (ONT),84
1905,Ontario,Lake Trout,,,U.S. Total (NY),
1905,Ontario,Lake Trout,,,Canada (ONT),75
1906,Ontario,Lake Trout,,,U.S. Total (NY),
1906,Ontario,Lake Trout,,,Canada (ONT),108
1907,Ontario,Lake Trout,,,U.S. Total (NY),
1907,Ontario,Lake Trout,,,Canada (ONT),107
1908,Ontario,Lake Trout,191,,U.S. Total (NY),14
1908,Ontario,Lake Trout,191,,Canada (ONT),177
1909,Ontario,Lake Trout,,,U.S. Total (NY),
1909,Ontario,Lake Trout,,,Canada (ONT),640
1910,Ontario,Lake Trout,,,U.S. Total (NY),
1910,Ontario,Lake Trout,,,Canada (ONT),413
1911,Ontario,Lake Trout,,,U.S. Total (NY),
1911,Ontario,Lake Trout,,,Canada (ONT),385
1912,Ontario,Lake Trout,,,U.S. Total (NY),
1912,Ontario,Lake Trout,,,Canada (ONT),631
1913,Ontario,Lake Trout,604,,U.S. Total (NY),31
1913,Ontario,Lake Trout,604,,Canada (ONT),573
1914,Ontario,Lake Trout,662,,U.S. Total (NY),29
1914,Ontario,Lake Trout,662,,Canada (ONT),633
1915,Ontario,Lake Trout,586,,U.S. Total (NY),31
1915,Ontario,Lake Trout,586,,Canada (ONT),555
1916,Ontario,Lake Trout,554,,U.S. Total (NY),14
1916,Ontario,Lake Trout,554,,Canada (ONT),540
1917,Ontario,Lake Trout,493,,U.S. Total (NY),24
1917,Ontario,Lake Trout,493,,Canada (ONT),469
1918,Ontario,Lake Trout,411,,U.S. Total (NY),24
1918,Ontario,Lake Trout,411,,Canada (ONT),387
1919,Ontario,Lake Trout,580,,U.S. Total (NY),26
1919,Ontario,Lake Trout,580,,Canada (ONT),554
1920,Ontario,Lake Trout,490,,U.S. Total (NY),28
1920,Ontario,Lake Trout,490,,Canada (ONT),462
1921,Ontario,Lake Trout,584,,U.S. Total (NY),25
1921,Ontario,Lake Trout,584,,Canada (ONT),559
1922,Ontario,Lake Trout,756,,U.S. Total (NY),34
1922,Ontario,Lake Trout,756,,Canada (ONT),722
1923,Ontario,Lake Trout,791,,U.S. Total (NY),36
1923,Ontario,Lake Trout,791,,Canada (ONT),755
1924,Ontario,Lake Trout,984,,U.S. Total (NY),45
